tick,accX,accY,accZ
2307,0.348475,-0.133822,9.7627
3320,0.317041,-0.137414,9.74653
4320,0.371827,-0.169747,9.77168
5320,0.379012,-0.182321,9.76539
6334,0.349373,-0.138312,9.68546
7334,0.343985,-0.189506,9.73845
8342,0.362845,-0.169747,9.78605
9342,0.395178,-0.138312,9.77078
10353,0.377216,-0.183219,9.74833
11353,0.334105,-0.175136,9.78515
12364,0.345781,-0.149988,9.74294
13374,0.370031,-0.158071,9.79862
14374,0.381706,-0.183219,9.76899
15385,0.330513,-0.180525,9.76629
16385,0.338596,-0.169747,9.7627
17398,0.362845,-0.211061,9.77617
18398,0.326022,-0.174238,9.77976
19409,0.376317,-0.12035,9.77976
20409,0.371827,-0.143701,9.78964
21415,0.338596,-0.181423,9.7636
22415,0.357457,-0.182321,9.74024
23423,0.31255,-0.144599,9.78246
24423,0.352966,-0.20657,9.77348
25433,0.391586,-0.213755,9.77976
26433,0.339494,-0.118553,9.76719
27433,0.390688,-0.16346,9.79862
28443,0.370929,-0.21645,9.77976
29443,0.3368,-0.150886,9.7618
30453,0.348475,-0.150886,9.74114
31453,0.354762,-0.166154,9.76988
32464,0.302671,-0.190404,9.75372
33464,0.360151,-0.132924,9.75821
34470,0.344883,-0.17783,9.76539
35470,0.35566,-0.108674,9.76719
36480,0.438289,-0.214654,9.7133
37480,0.354762,-0.169747,9.76629
38480,0.384401,-0.156275,9.74384
39495,0.350272,-0.166154,9.73126
40495,0.361947,-0.172441,9.79773
41495,0.35117,-0.161664,9.72408
42505,0.335901,-0.183219,9.77976
43505,0.385299,-0.196691,9.76629
44515,0.317041,-0.160766,9.78785
45527,0.377216,-0.176932,9.72138
46527,0.344883,-0.171543,9.78695
47535,0.348475,-0.18771,9.77976
48535,0.424817,-0.167951,9.79593
49547,0.369132,-0.156275,9.8076
50548,0.379012,-0.123044,9.77976
51548,0.350272,-0.168849,9.74743
52559,0.392484,-0.203876,9.80042
53559,0.395178,-0.182321,9.75911
54559,0.324226,-0.154479,9.75551
55559,0.378114,-0.186812,9.79413
56574,0.375419,-0.157173,9.76449
57574,0.35117,-0.16346,9.80671
58587,0.373623,-0.17783,9.79323
59599,0.397873,-0.184117,9.79683
60599,0.344883,-0.166154,9.78515
61605,0.357457,-0.196691,9.84622
62605,0.350272,-0.237107,9.77437
63615,0.335003,-0.185913,9.81389
64615,0.352966,-0.170645,9.76988
65626,0.302671,-0.182321,9.72677
66626,0.311652,-0.17783,9.73935
67626,0.397873,-0.203876,9.72587
68632,0.333207,-0.152682,9.75821
69632,0.340392,-0.178728,9.73486
70643,0.392484,-0.149988,9.73575
71643,0.362845,-0.16346,9.74833
72654,0.367336,-0.219144,9.74204
73663,0.378114,-0.13472,9.75461
74663,0.366438,-0.201182,9.81928
75669,0.382604,-0.178728,9.80671
76678,0.370031,-0.189506,9.73216
77678,0.363744,-0.11047,9.70522
78688,0.396974,-0.193098,9.79234
79688,0.379012,-0.185015,9.74204
80698,0.350272,-0.195793,9.72767
81709,0.382604,-0.151784,9.76539
82709,0.387993,-0.20208,9.75731
83715,0.335901,-0.215552,9.76899
84715,0.376317,-0.123044,9.77348
85724,0.349373,-0.195793,9.74833
86724,0.358355,-0.185913,9.77976
87737,0.370929,-0.141007,9.78066
88744,0.361947,-0.146396,9.80671
89744,0.362845,-0.144599,9.81569
90755,0.359253,-0.141007,9.75551
91766,0.428409,-0.193098,9.7151
92770,0.363744,-0.17783,9.72767
93770,0.363744,-0.142803,9.77886
94770,0.366438,-0.153581,9.79503
95781,0.372725,-0.150886,9.74474
96781,0.349373,-0.224533,9.74384
97781,0.381706,-0.179626,9.8103
98791,0.346679,-0.13472,9.79952
99791,0.343087,-0.141007,9.72947
100800,0.358355,-0.168849,9.73755
101800,0.349373,-0.181423,9.78695
102810,0.448168,-0.191302,9.75461
103818,0.328716,-0.144599,9.67917
104819,0.35566,-0.143701,9.7627
105819,0.360151,-0.169747,9.77348
106829,0.373623,-0.184117,9.74563
107829,0.380808,-0.175136,9.75911
108829,0.373623,-0.202978,9.75821
109839,0.369132,-0.146396,9.73935
110839,0.353864,-0.116757,9.73126
111849,0.401465,-0.20657,9.73665
112849,0.363744,-0.159868,9.81389
113859,0.372725,-0.170645,9.77886
114859,0.370929,-0.1922,9.75911
115868,0.321531,-0.182321,9.72857
116868,0.332309,-0.180525,9.79683
117874,0.345781,-0.158969,9.74384
118874,0.360151,-0.185015,9.77437
119885,0.378114,-0.176034,9.7618
120885,0.339494,-0.156275,9.75731
121885,0.382604,-0.154479,9.75282
122885,0.383503,-0.156275,9.77078
123885,0.37991,-0.157173,9.79593
124895,0.349373,-0.201182,9.77797
125906,0.338596,-0.194895,9.77797
126906,0.352068,-0.246986,9.74114
127912,0.391586,-0.194895,9.78605
128912,0.369132,-0.151784,9.79144
129918,0.364642,-0.119452,9.73037
130918,0.376317,-0.152682,9.77437
131918,0.348475,-0.188608,9.80042
132918,0.380808,-0.138312,9.76629
133930,0.363744,-0.169747,9.76539
134930,0.368234,-0.158969,9.74743
135944,1.11817,0.339494,4.50683
135944,0.379012,-0.182321,15.2539    
135944,0.849373,-0.438312,22.68546   
135944,1.343985,-0.789506,28.73845   
135944,2.362845,-1.169747,35.78605   
135944,3.395178,-1.538312,42.77078   
135944,2.377216,-1.183219,38.74833  

